class,id
hormone therapy,10391
hormone therapy,4632
hormone therapy,13691
hormone therapy,4629
hormone therapy,152957
hormone therapy,27123
hormone therapy,152958
hormone therapy,21045
hormone therapy,16165
hormone therapy,153143
hormone therapy,21108
hormone therapy,153147
hormone therapy,21113
hormone therapy,153145
hormone therapy,21044
hormone therapy,21042
hormone therapy,14135
hormone therapy,10389
hormone therapy,173888
hormone therapy,173889
hormone therapy,33669
hormone therapy,35236
hormone therapy,40801
hormone therapy,105561
hormone therapy,25509
hormone therapy,32893
hormone therapy,33673
hormone therapy,136689
hormone therapy,131888
hormone therapy,136195
hormone therapy,136197
hormone therapy,136198
hormone therapy,136200
hormone therapy,152447
hormone therapy,153365
hormone therapy,174171
hormone therapy,109587
hormone therapy,14196
hormone therapy,14197
hormone therapy,19736
hormone therapy,37459
hormone therapy,4854
hormone therapy,4855
hormone therapy,4856
hormone therapy,77007
hormone therapy,109379
hormone therapy,14466
hormone therapy,14467
hormone therapy,16032
hormone therapy,22460
hormone therapy,2247
hormone therapy,2248
hormone therapy,24003
hormone therapy,35957
hormone therapy,35965
hormone therapy,37453
hormone therapy,41141
hormone therapy,41183
hormone therapy,6694
hormone therapy,6695
hormone therapy,6696
hormone therapy,130639
hormone therapy,142069
hormone therapy,130640
hormone therapy,1184073001
hormone therapy,137157
hormone therapy,137158
hormone therapy,137159
hormone therapy,10521
hormone therapy,160937
hormone therapy,4870
hormone therapy,4871
hormone therapy,137178
hormone therapy,137179
hormone therapy,160938
hormone therapy,167253
hormone therapy,41909
hormone therapy,41912
hormone therapy,4868
hormone therapy,40820388
hormone therapy,40821932
hormone therapy,137184
hormone therapy,17210
hormone therapy,10633
hormone therapy,4651
hormone therapy,137786
hormone therapy,138923
hormone therapy,11498
hormone therapy,1304073001
hormone therapy,7711
hormone therapy,144786
hormone therapy,144787
hormone therapy,76986
hormone therapy,77338
hormone therapy,21736
hormone therapy,115858
hormone therapy,31708
hormone therapy,186577
hormone therapy,145537
targeted therapy,191493
targeted therapy,191492
targeted therapy,191494
targeted therapy,191495
targeted therapy,191504
targeted therapy,191506
targeted therapy,191877
targeted therapy,40890166
targeted therapy,166717
targeted therapy,167211
targeted therapy,170632
targeted therapy,170634
targeted therapy,170633
targeted therapy,183673
targeted therapy,40841936
targeted therapy,40870087
targeted therapy,40870089
targeted therapy,40870090
targeted therapy,9000006217100730
targeted therapy,125132
targeted therapy,178871
targeted therapy,40890651
targeted therapy,197910
targeted therapy,197911
targeted therapy,197912
targeted therapy,197918
targeted therapy,197919
targeted therapy,158903
targeted therapy,158904
targeted therapy,158919
targeted therapy,159445
targeted therapy,40890384
targeted therapy,38022
targeted therapy,40890044
targeted therapy,40890078
targeted therapy,40890889
targeted therapy,40890890
targeted therapy,40890891
targeted therapy,38020
targeted therapy,40890887
targeted therapy,40890892
targeted therapy,410002
targeted therapy,187252
targeted therapy,40890875
targeted therapy,40890876
targeted therapy,190004
targeted therapy,198330
targeted therapy,40890883
targeted therapy,200375
targeted therapy,40890914
targeted therapy,40890915
targeted therapy,200379
targeted therapy,40890916
targeted therapy,1031073001
targeted therapy,127224
targeted therapy,126434
targeted therapy,194822
targeted therapy,40890376
targeted therapy,40890381
targeted therapy,40890382
targeted therapy,40890550
targeted therapy,40890551
targeted therapy,40890552
targeted therapy,40890553
targeted therapy,40890554
targeted therapy,40890591
targeted therapy,40890604
targeted therapy,40890618
targeted therapy,40890620
targeted therapy,40890630
targeted therapy,40890631
targeted therapy,40890633
targeted therapy,40890731
targeted therapy,40890830
targeted therapy,40890843
targeted therapy,40890844
targeted therapy,40890845
targeted therapy,40890846
targeted therapy,40890857
targeted therapy,40890858
targeted therapy,40890859
targeted therapy,40890865
targeted therapy,40890866
targeted therapy,40890880
targeted therapy,40890881
targeted therapy,40890882
targeted therapy,40890895
targeted therapy,40890593
targeted therapy,40890597
targeted therapy,40890826
targeted therapy,40890839
targeted therapy,40890852
targeted therapy,163053
targeted therapy,163054
targeted therapy,192236
targeted therapy,163336
targeted therapy,40890094
targeted therapy,40890543
targeted therapy,40890545
targeted therapy,153289
targeted therapy,189985
targeted therapy,166315
targeted therapy,166316
targeted therapy,185502
targeted therapy,185503
targeted therapy,185504
targeted therapy,166314
targeted therapy,40890082
targeted therapy,40890581
targeted therapy,162271
targeted therapy,162365
targeted therapy,162666
targeted therapy,186399
targeted therapy,186409
targeted therapy,40890585
targeted therapy,162672
targeted therapy,176543
targeted therapy,37989
targeted therapy,40891026
targeted therapy,128731
targeted therapy,183296
targeted therapy,183303
targeted therapy,40890546
targeted therapy,153248
targeted therapy,153249
targeted therapy,153323
targeted therapy,153440
targeted therapy,168713
targeted therapy,168712
targeted therapy,169006
targeted therapy,169291
targeted therapy,149028
targeted therapy,149027
targeted therapy,149032
targeted therapy,76717
targeted therapy,76718
targeted therapy,76719
targeted therapy,92897
targeted therapy,130453
targeted therapy,76721
targeted therapy,76723
targeted therapy,144109
targeted therapy,195691
targeted therapy,195694
targeted therapy,40890407
targeted therapy,183611
targeted therapy,194821
targeted therapy,194820
targeted therapy,194824
targeted therapy,197437
targeted therapy,197438
targeted therapy,197442
targeted therapy,197443
targeted therapy,40082
targeted therapy,40090
targeted therapy,40091
targeted therapy,40089
targeted therapy,144824
targeted therapy,158997
targeted therapy,168525
targeted therapy,168526
targeted therapy,168527
targeted therapy,104555
targeted therapy,104556
targeted therapy,104877
targeted therapy,147916
targeted therapy,40849995
targeted therapy,9000004222100730
targeted therapy,9000004848200730
targeted therapy,9000004848400730
targeted therapy,97389
targeted therapy,97390
targeted therapy,104878
targeted therapy,132436
targeted therapy,147921
targeted therapy,195829
targeted therapy,195976
targeted therapy,97398
targeted therapy,124963
targeted therapy,198786
targeted therapy,40890525
targeted therapy,40890526
targeted therapy,40890528
targeted therapy,40891172
targeted therapy,40891173
targeted therapy,196333
targeted therapy,196334
targeted therapy,173254
targeted therapy,193639
targeted therapy,193640
targeted therapy,193641
targeted therapy,193638
targeted therapy,193645
targeted therapy,193650
targeted therapy,40870270
targeted therapy,175570
targeted therapy,175568
targeted therapy,32979
targeted therapy,133753
targeted therapy,36089
targeted therapy,36092
targeted therapy,134847
targeted therapy,40890507
targeted therapy,195055
targeted therapy,183350
targeted therapy,183349
targeted therapy,183351
targeted therapy,78752
targeted therapy,78803
targeted therapy,145946
targeted therapy,196322
targeted therapy,196324
targeted therapy,196328
targeted therapy,196329
targeted therapy,196330
targeted therapy,157689
targeted therapy,158154
targeted therapy,168761
targeted therapy,43718
targeted therapy,43719
targeted therapy,76783
targeted therapy,76784
targeted therapy,142737
targeted therapy,43723
targeted therapy,76788
targeted therapy,9000003044100730
targeted therapy,136176
targeted therapy,179859
targeted therapy,186305
targeted therapy,195259
targeted therapy,179857
targeted therapy,179858
targeted therapy,179860
targeted therapy,186304
targeted therapy,186317
targeted therapy,195260
targeted therapy,195352
targeted therapy,196250
targeted therapy,196251
targeted therapy,196258
targeted therapy,189986
targeted therapy,40890640
targeted therapy,40890641
targeted therapy,190749
targeted therapy,147840
targeted therapy,88720
targeted therapy,88729
targeted therapy,144838
targeted therapy,178535
targeted therapy,178536
targeted therapy,189466
targeted therapy,40890385
targeted therapy,40890424
targeted therapy,179193
targeted therapy,179196
targeted therapy,192486
targeted therapy,192491
targeted therapy,40890319
targeted therapy,40890320
targeted therapy,152676
targeted therapy,40890139
targeted therapy,40890680
targeted therapy,40891225
targeted therapy,40891227
targeted therapy,40891228
targeted therapy,202745
targeted therapy,202748
targeted therapy,191131
targeted therapy,179173
targeted therapy,191132
targeted therapy,40890450
targeted therapy,183309
targeted therapy,183310
targeted therapy,179794
targeted therapy,179795
targeted therapy,200902
targeted therapy,200903
targeted therapy,179793
targeted therapy,200901
targeted therapy,200937
targeted therapy,200941
targeted therapy,40890140
targeted therapy,180285
targeted therapy,180283
targeted therapy,180284
targeted therapy,100154
targeted therapy,100271
targeted therapy,140305
targeted therapy,147018
targeted therapy,40890048
targeted therapy,158003
targeted therapy,158004
targeted therapy,161637
